index,wav,label,text
0,000207.wav,7,一時鋁圈單後紅夫人英文鳳姐你今兒什麼樣鳳姐兒到太太只管請回去我需得先理出一個頭緒來才回去得呢王夫人聽說變先同行夫人等回去不在話下
1,000276.wav,5,取締酒後駕車勤務進行呼氣質酒測時會議警政署訂單取締酒後駕車作業程序規定確認受測者英九結束後食物分鐘並提供礦泉水漱口後才進行酒精濃度檢測
2,000748.wav,4,致伸縮喇家在五台山跟師父子增長老學會說因緣經驗你可將女兒長了我到你女兒房中說那二大王回心轉意不取你女兒
3,001111.wav,1,寄之盲校被叫姊親自去接又叫我先回公館裡去知道我就先回去了到了下午記之陪著他老太太來了記之夫人營出去我也是
4,001206.wav,3,關於難辭其者自身也為孫權所砂石半年的攻防戰中數中景不派兵網雲任起不滅認為諸葛亮音關與破壞農中隊所需要的連無抗曹政策
5,001299.wav,4,時近不知去哪兒了與終止好多次逃出為中到桃花山下奉上山寨大王傑洛大王不是他的對手請他身上讓他坐在主
6,001377.wav,7,伸側磨後只聽演員有人笑聲也有12時婦人一群系數建祿堂屋網那邊屋內去了又見兩三個婦人都捧著大7朋和進這邊來等候聽得那邊說了聲白飯店
7,001612.wav,4,太為命中能幫開始規角有三四尺深間有一塊青石板中人翹開始版紅信石頭一看是個黑洞洞的萬丈的雪
8,001622.wav,5,15年的舉辦今年的話會有26團參加用9天的時間來騎車到台灣1週期中的社團已經在10月22號出發切順利返回機率的團隊會在11月5號上午8點半左右分別從台北台中彰化吃
9,001906.wav,2,5G西洋太熟馬騰并州刺史韓遂街道皇帝密照後期冰沙向長安馬騰兒子嗎超雖只有17歲但應永和人連殺理首相機員大將石中英兵馬斷糧草不得不退回西涼
10,001908.wav,3,中法戰爭發生在1883年12月至1885年4月間是清朝為了保護越南而與法國發生的戰爭戰是出在越南境內展開外法國上派遣部隊攻打雲南邊界並由法
11,002187.wav,5,該規定19日起生效將通知各國提出成癮防治對策該直營旭明電玩成癮症狀包括無法控制的打電玩將電玩至於其他生活興趣之前
12,002254.wav,5,河北雄安新區生態環境局昨日在雄安新區容呈現掛牌成立這是至今年生態環境部組建以來中國全國範圍內首個成立的地方生態環境局河北省環保廳
13,002341.wav,6,橋頭有扁扁上寫有凌雲渡長生說著瞧人者能過得另找路八戒沙僧都不敢過戶空跳上翹左搖右晃跑過橋海過來過來生人還是不敢過戶公回來找發間八屆乾脆躺在地上死活不起來
14,002371.wav,3,建立或收手術後凸的算法沿著述的深度便利署的節點儘可能生的搜索樹的分枝當節點滴的所在天都已被探尋過搜索將回溯到發現節點滴的那條邊的其實潔墊這一過程
15,002670.wav,6,開啟聲賦王正慧行遠路和尚的話國王說那道人推我做緊實臉我的金鑲白玉圭一同推入他衰變成我的模樣都都少了這與歸我把與歸留下當表記他一見就會相信師父的話
16,002728.wav,7,該做什看他來怎麼樣拼隔音問道這炸了這味道也是因什麼只管來鳳姐兒隨將9月裡在您福園子裡遇見他的光景他說的話都告訴了平和平和收到了阿嬤想天鵝肉差別人倫的混帳東西想起這個念頭叫他不得好死
17,002816.wav,3,大冠軍連鎖健身房成吉思汗健身館的創辦人兼執行長因此能稱館長袁明程式和錯號標和台北蘆洲人吃慣宜蘭2017年遷居新北市林口區
